CÓDIGO;NOMBRE DEL ALIMENTO;"Energía
<ENERC>";"Energía
<ENERC>";"Agua
<WATER>";"Proteínas
<PROCNT>";"Grasa total
<FAT>";"Carbohidratos totales
<CHOCDF>";"Carbohidratos disponibles
<CHOAVL>";"Fibra dietaria
<FIBTG>";"Cenizas
<ASH>";"Calcio
<CA>";"Fósforo
<P>";"Zinc
<ZN>";"Hierro
<FE>";"Sodio
<NA>";"Potasio
<K>";"B caroteno equivalentes totales
<CARTBQ>";"Vitamina A equivalentes totales
<VITA>";"Tiamina
<THIA>";"Riboflavina
<RIBF>";"Niacina
<NIA>";"Vitamina C
<VITC>";Ácido fólico
;;kcal;kJ;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;µg;µg;mg;mg;mg;mg;µg
A;Kiwicha, achita o achis o amaranto;351;1469;9.2;12.8;6.6;69.1;59.8;9.3;2.3;236;453;2.68;7.32;0;0;57;10;0.09;0.18;1.58;1.3;0
A;Arroz pilado o pulido cocido;115;480;72.2;2.4;0.1;25.2;0;0;0.1;11;30;0.42;0.3;18;98;0;0;0;0;0.24;0;0
A;Arroz blanco corriente;358;1500;13.4;7.8;0.7;77.6;0;0;0.5;6;134;1.51;1.04;19;148;0;0;0.11;0.04;2.19;0.9;0
A;Arroz con cáscara;332;1388;11.9;5.9;2;75.7;71.6;4.1;4.5;40;185;0.2;0;19;148;0;0;0.16;0.07;3.85;0;0
A;Avena envasada;380;1592;6.1;13.7;4.7;71.3;0;0;4.2;51;713;3.97;3.5;2;211;0;0;0.55;0.12;1.5;0;0
A;Avena, hojuela cocida;54;224;87.1;1.3;0.5;10.9;0;0;0.2;21;42;0;0.5;0;0;0;0;0;0.01;0.22;0;0
A;Avena, hojuela cruda;333;1394;8.8;13.3;4;72.2;61.6;10.6;1.7;49;407;3.97;4.1;2;211;0;0;0.15;0.09;1;0;0
A;Cañihua, variedad amarilla;381;1595;10.7;15.7;7.5;62.5;0;0;3.5;87;335;0;10.8;0;0;0;0;0.62;0.51;1.2;2.2;0
A;Cañihua gris;356;1488;12.4;14;4.5;64;0;0;5.1;110;375;0;13;0;0;0;0;0.47;0.65;1.13;1.1;0
A;Cañihua, hojuela de;318;1331;11.4;14.5;8.9;61;45.5;15.5;4.2;141;320;4.55;17.07;0;0;0;0;0.67;0.3;1.45;0;0
A;Cañihua parda;355;1487;12.2;13.8;3.5;66.2;0;0;4.3;171;496;0;15;0;0;0;0;0.57;0.75;1.56;0;0
A;Cebada con cáscara;284;1190;9.7;8.4;2;77.5;60.2;17.3;2.4;61;320;2.78;4.58;0;0;313;54;0.24;0.08;7.86;0;0
A;Cebada, llunka de (morón americano);249;1041;18.5;1.9;0.7;77.1;59.8;17.3;1.8;42;283;2.77;9.7;0;0;0;1;0.25;0.18;2.25;2.1;0
A;Cebada, mashka o machica;302;1265;10;8.6;0.7;77.4;67.3;10.1;3.3;74;320;2;12.3;0;0;0;0;0.12;0.25;8.7;1.9;0
A;Cebada para mote, pelada;328;1372;15.4;8.2;1.1;73.3;0;0;2;47;202;0;3.6;0;0;0;0;0.07;0.11;8.75;0;0
A;Cebada tostada, harina integral;274;1147;5.6;8.7;3.2;80.2;54.8;25.4;2.5;0;0;0;9.6;0;0;0;0;0;0;0;0;0
A;Cebada perlada o resbalada cocida;59;248;81;1;0.1;17.7;13.9;3.8;0.2;9;35;0.82;0.9;0;0;0;0;0;0.01;0.58;0;0
A;Cebada perlada o resbalada cruda;277;1161;13.3;5.3;0.6;79.8;64.2;15.6;1;18;162;2.13;4;0;0;0;1;0.03;0.04;3.5;2;0
A;Cebada tostada y molida (chaquepa);349;1460;9.9;7.7;0.8;79.7;0;0;1.9;55;253;0;7.1;0;0;0;0;0.12;0.18;9.6;0;0
A;Chancay (bizcocho);355;1485;19.4;8.8;6.9;64.4;0;0;0.5;47;108;0;1;0;0;0;0;0.11;0.23;1.06;0;0
A;Fideo crudo fortificado con hierro;337;1412;12.1;9.4;0.2;77.7;74.5;3.2;0.6;24;150;1.26;5.5;0;0;0;0;0.13;0.13;1.5;0;0
A;Fideo tallarín crudo fortificado con hierro;305;1274;20.4;9.5;0.1;69.6;66.4;3.2;0.4;40;137;1.26;5.5;0;0;0;0;0.12;0.08;1;0;0
A;Fideo tallarín sancochado fortiticado con hierro;90;378;75.5;3.1;0;21.3;19.5;1.8;0.1;25;25;0.5;1.35;0;0;0;0;0.02;0.04;0.17;0;0
A;Galleta de soda (salada);433;1810;4.8;10.1;14.7;68;65;3;2.4;38;134;0.83;1.5;0;0;0;0;0.17;0.1;1.17;0;0
A;Galleta de vainilla (dulce);434;1814;4.8;6;12.7;74.9;73.8;1.1;1.6;22;665;0.64;0.6;0;0;0;0;0.04;0.04;0.5;0;0
A;Maíz alazán;346;1449;13.7;8.2;3.7;72.7;0;0;1.7;14;377;0;0.7;0;0;0;16;0.32;0.22;2.15;2.5;0
A;Maíz alazán, jora fresca de;289;1210;28.1;5.4;2.8;62.3;0;0;1.4;23;275;0;0;0;0;0;4;0.28;0.4;3.4;0;0
A;Maíz alazán, jora seca de;347;1450;13.8;7;3.6;73.8;0;0;1.8;38;346;0;0.5;0;0;0;6;0.38;0.29;3.6;0;0
A;Maíz amarillo;355;1486;13.5;6.7;4.8;73.6;0;0;1.4;6;267;1.51;1.92;0;0;352;61;0.29;0.06;2.17;0.7;0
A;Maíz blanco crudo;343;1437;12.7;5.9;4;76.1;72.9;3.2;1.3;5;249;1.91;1.48;0;0;0;1;0.25;0.05;2.26;2.6;0
A;Maíz blanco tostado;389;1628;4.6;7.2;4.6;82.1;0;0;1.5;6;270;0;2.6;0;0;0;0;0.01;0.01;0.54;0;0
A;Maíz cancha tostada de;342;1429;9.5;6.7;2.7;79.8;74.6;5.2;1.3;11;221;0.58;2.7;0;0;0;2;0.15;0.34;2.73;9.8;0
A;Maíz, chochoca de, sin moler;349;1462;13;5.2;2.5;78;0;0;1.3;12;190;0;1.5;0;0;0;0;0.33;0.11;2.85;0.7;0
A;Maíz, grano fresco (choclo);104;437;67.3;3.3;0.8;27.8;25.1;2.7;0.8;8;113;0.45;0.8;0;0;0;0;0.14;0.07;1.44;4.8;0
A;Maíz, germinado seco;314;1313;22;6.2;3.2;67;0;0;1.6;22;285;0;0.4;0;0;0;4;0.28;0.36;3.02;0;0
A;Maíz, harina de;326;1366;11.9;8.7;6.5;71.2;61.6;9.6;1.7;64;454;1.73;2;0;0;0;0;0.45;0.13;2.25;1.2;0
A;Maíz, maicena;365;1529;8.3;0.3;0.1;91.3;90.4;0.9;0.1;2;13;0.06;0;0;0;0;1;0;0;0;0;0
A;Maíz, morado sin coronta;355;1487;11.4;7.3;3.4;76.2;0;0;1.7;12;328;0;0.2;0;0;0;8;0.38;0.22;2.84;2.1;0
A;Maíz, mote de, sancochado;103;431;74.5;2.6;1.3;21.1;0;0;0.5;14;78;0;1.2;0;0;0;0;0.03;0.09;0.54;0;0
A;Maíz, pachuco de;349;1459;13.4;7.3;3.9;73.5;0;0;1.9;89;348;0;3.7;0;0;0;5;0.41;0.31;2.87;3.9;0
A;Maíz, para mote pelado;349;1461;12.6;5.9;2.1;78.3;0;0;1.1;47;187;0;3.8;0;0;0;0;0.16;0.08;2.64;1.9;0
A;Maíz, para mote sin pelar;345;1445;12.8;5.7;1.5;78.7;0;0;1.3;9;166;0;4.4;0;0;0;0;0.26;0.14;2.63;2.1;0
A;Maíz, polenta cruda de;324;1358;13.3;8.3;1.2;74;72.4;1.6;3.2;70;58;0.41;2;0;0;0;0;0.09;0.06;4.45;0.9;0
A;Maíz, tocosh crudo;205;857;53.1;2.8;3;41.1;0;0;0.1;5;0;0.18;0.7;0;0;0;0;0.02;0.2;1.25;0.8;0
A;Pan de cebada (serrano);295;1236;24.4;7.2;0.2;66.2;0;0;2;60;224;0;6.5;0;0;0;0;0.3;0.23;6.35;0;0
A;Pan de labranza;328;1374;17.3;9.6;0.3;71.8;0;0;1;40;107;0;1.6;0;0;0;0;0.13;0.14;1.22;1;0
A;Pan de molde;317;1326;20.8;6.8;2.5;69.2;66.8;2.4;0.7;13;60;0.74;0.4;0;0;0;0;0.08;0.16;1.22;0;0
A;Pan bollo o bollitos de queso de Huancavelica;310;1297;30.3;9.5;7.3;51.7;0;0;1.2;0;0;0;5.29;0;0;0;0;1.05;0.34;4.19;0;233
A;Pan francés fortificado con hierro;277;1161;27;8.4;0.2;62.9;60.5;2.4;1.5;35;101;0.74;3.14;0;0;0;0;0.33;0.26;3.14;1;0
A;Quinua, afrecho de;351;1467;14.1;10.7;4.5;65.9;0;0;4.8;573;342;0;4;0;0;0;0;0.21;0.22;1;0;0
A;Quinua blanca, (Junín);334;1396;12.8;12.5;6.5;66;56;10;2.2;85;155;3.54;3.03;30;776;0;0;0.4;0.77;0;0;0
A;Quinua blanca (Puno);355;1484;11.1;13.3;6.1;67.1;61.2;5.9;2.4;120;165;2.5;4.31;30;776;330;0;0.4;0.24;1.8;0;0
A;Quinua cocida;89;372;79;2.8;1.3;16.3;0;0;0.6;27;61;0;1.6;24;472;0;0;0.01;0;0.26;0;0
A;Quinua;351;1470;11.5;13.6;5.8;66.6;60.7;5.9;2.5;56;242;3.3;7.5;30;776;0;0;0.48;0.03;1.4;0.5;0
A;Quinua dulce, blanca (Junín);361;1510;11.1;11.1;7.7;67.4;61.5;5.9;2.7;93;355;3.3;4.3;30;776;0;0;0.59;0.3;1.23;2.2;0
A;Quinua dulce, blanca (Puno);349;1459;11.2;11.6;5.3;68.9;63;5.9;3;115;226;3.3;5.3;30;776;0;0;0.73;0.21;1.09;1.1;0
A;Quinua dulce, rosada (Junín);360;1506;11;12.3;7.2;67.1;61.2;5.9;2.4;80;344;3.3;4.3;30;776;0;0;1;0.3;1.23;1.1;0
A;Quinua, harina de;337;1408;11.7;12.4;6;67.2;57.9;9.3;2.8;104;330;5.19;9.65;2;913;0;0;0.19;0.24;0.68;0;0
A;Quinua, hojuela de;376;1572;13.4;13.9;7.4;63.1;0;0;2.6;114;60;3.72;5.46;0;0;0;0;0.13;0.38;1.1;0;0
A;Quinua rosada (Puno);356;1490;10.2;12.5;6.4;67.6;61.7;5.9;3.3;124;205;3.3;5.2;30;776;0;0;0.24;0.25;1.6;0;0
A;Quinua, sémola de;362;1516;12.6;19.5;10.7;53.8;47.9;5.9;3.4;76;0;3.3;3.6;0;0;0;0;0.21;0.25;1.84;0;0
A;Sorgo;309;1292;12.2;8;4;72.8;66.5;6.3;3;50;370;0;4.3;0;0;0;0;0.25;0.23;3.85;0.9;0
A;Trigo, harina fortificada con hierro de;362;1517;10.8;10.5;2;76.3;73.6;2.7;0.4;36;108;0.7;5.5;0;0;0;0;0.5;0.4;4.8;1.8;0
A;Trigo, llunka de;312;1307;16.1;9.1;1;71.8;0;0;2;60;250;0;1.6;0;0;0;0;0.33;0.26;1.95;2;0
A;Trigo, harina tostada de (machica);330;1382;9;7.9;1.2;79.9;77.2;2.7;2;67;300;0.7;0.9;0;0;0;0;0.1;0.48;2.11;2.7;0
A;Trigo, mote de, sancochado;154;644;59;2.5;0.6;37;0;0;0.9;38;118;0;2.5;26;226;0;0;0.01;0.07;1.57;0.4;0
A;Trigo para mote pelado cocido;63;265;82.9;1.9;0.1;14.7;0;0;0.4;29;45;0;0.4;26;226;0;0;0;0;0.73;0;0
A;Trigo para mote pelado crudo;325;1359;12.5;9.8;0.9;74.6;0;0;2.2;80;274;0;2.5;0;0;0;0;0.18;0.23;4;0.9;0
A;Trigo, pelado;330;1379;12.6;8.4;1.4;76.1;0;0;1.5;51;293;0;4.6;30;515;0;0;0.22;0.15;3.85;0;0
A;Trigo resbalado cocido;83;347;77.9;2.8;0.3;18.6;0;0;0.4;5;66;0;0.5;26;226;0;0;0.06;0.02;0.9;0.7;0
A;Trigo resbalado crudo;327;1370;13.5;11.4;1.8;71.8;0;0;1.5;17;299;0;4.8;30;515;0;0;0.3;0.17;5;4.5;0
A;Trigo, sémola de;319;1334;12.1;7.8;1.1;78.4;74.5;3.9;0.6;40;125;1.05;0.8;0;0;0;0;0.14;0.08;1.21;0;0
A;Trigo;289;1210;11.6;10.3;1.9;74.7;62.5;12.2;1.5;36;314;2.98;3.87;30;515;169;28;0.42;0.17;3.89;4.8;0
A;Barra de cereales (avena y arrocillo) con maní y pasas;391;1637;8.8;5.8;9.4;74.9;70.9;4;1.2;0;0;0;10.01;223;188;0;0;0;0;0;0;0
A;Barra de cereales con sabor a chocolate y chocochips;386;1615;6.7;4.9;8.5;78.6;72.4;6.2;1.3;0;0;0;12.12;224;120;0;0;0;0;0;0;0
A;Barra de cereales (avena, arroz) con aguaymanto;371;1551;8.5;5.3;7.3;77.6;71;6.6;1.3;0;0;0;11.2;209;295;0;0;0;0;0;0;0
A;"Barra de cereales (maíz, trigo, arroz)
sabor a miel con leche, vitaminas y minerales";397;1660;6.4;4.4;8.5;79;75.5;3.4;1.6;0;0;0;10.82;110;69;0;0;0;0;0;0;0
A;Bollito de maíz de Huánuco;426;1781;13.1;9.6;17.5;57.5;0;0;2.4;0;0;0;2.95;0;0;0;0;0.39;0.33;2.48;0;195
A;Bollito de yema de Huánuco;384;1606;18;9.9;12.6;57.5;0;0;1.9;0;0;0;4.23;0;0;0;0;0.72;0.27;3.3;0;165
